id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
632,91808,Spider-Man: The Case of the Sinister Speller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10545,72999,Spider-Man & Friends: Doc Ock's Challenge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16107,39211,Ultimate Spider-Man: Total Mayhem,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30389,83901,The Amazing Spider-Man 2 mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30617,80483,Spider-Man,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
31908,73001,Spider-Man & Friends: Secret Missions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34858,24384,Questprobe featuring Spider-Man,NULL,1984-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
35551,99796,The Amazing Spider-Man Franchise Pack,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35572,120445,Spider-Man: Far From Home Virtual Reality,NULL,2019-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
41200,80446,Spider-Man 2,NULL,2004-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47902,122095,Marvel's Spider-Man: Game of the Year Edition,"When a new villain threatens New York City, Peter Parker and Spider-Man’s worlds collide. To save the city and those he loves, he must rise up and be greater.",2019-08-28 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
50576,23542,Spider-Man vs. Doc Ock,NULL,NULL,NULL,NULL,52.0000,1,NULL,NULL
61490,61293,Ultimate Spider-Man: Ultimate Spider-Cycle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61810,23514,The Amazing Spider-Man: Ultimate Edition,NULL,2013-03-05 00:00:00.000,NULL,NULL,73.0000,1,71.0000,2
61949,89103,MARVEL Spider-Man Unlimited,NULL,2014-09-10 00:00:00.000,NULL,NULL,NULL,NULL,90.0000,1
63991,80023,2 In 1 Game Pack: Spider-Man + Spider-Man 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67546,45882,The Amazing Spider-Man: Web of Fire,NULL,1996-05-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67558,46525,Spider-Man: The Animated Series,NULL,1995-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
68704,131297,Spider-Man Pinball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72345,49971,Spider-Man 2: The Sinister Six,NULL,2001-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
