id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
43,11226,Anstoss 3,NULL,2000-06-01 00:00:00.000,2,NULL,NULL,NULL,99.6223,7
54,6499,Lego Creator: Knights' Kingdom,NULL,2000-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
60,9711,Risk II,NULL,2000-03-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
281,125036,Die drei ??? - Das Geheimnis des Magiers,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
435,3613,Tigger's Honey Hunt,"Winnie the Pooh decides to have a party for his friends but needs more honey. He asks Tigger, a tiger with spring-like tail, to help him collect the honey they will need to have the party. Other friends from the Hundred Acre Wood such as Owl, Rabbit, Kanga, Piglet and Roo, also help Tigger find the honey they will need. After traveling through six areas and completing three minigames, Tigger goes to talk to Christopher Robin about finding more honey and he suggests different kinds of food. The party is a big success thanks to Pooh and Tigger.",2000-09-29 00:00:00.000,2,NULL,NULL,NULL,75.9841,5
517,57857,Chain of Command,NULL,2000-01-13 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
975,50558,Pocket Billiard Funk: The 9 Ball,NULL,2000-03-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1207,125313,Invasion Deutschland,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
2162,148434,Picross NP Vol. 8,NULL,2000-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2215,148432,Picross NP Vol. 6,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2409,40911,Steamroller,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2582,136733,Jikkyou Powerful Pro Yakyuu 2000,NULL,2000-04-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2723,55171,G1 Jockey 2000,NULL,2000-02-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2740,37460,Morita Shogi for WonderSwan,NULL,2000-01-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3199,93028,Alizarin Tetris,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3265,49968,Space Marauder,NULL,2000-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3288,43562,Wild Wild Racing,NULL,2000-10-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3308,43852,Suzuki Bakuhatsu,NULL,2000-07-06 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
3390,49886,International Superstar Soccer 99,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3759,44733,Gensō Suikogaiden: Swordsman of Harmonia,NULL,2000-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
